类型代码,面对象分类,线对象分类,点对象分类
010000,1004,,3017
010100,1004,,3017
010101,1004,,3017
010102,1004,,3017
010103,1004,,3017
010104,1004,,3017
010105,1004,,3017
010107,1004,,3017
010108,1004,,3017
010109,1004,,3017
010110,1004,,3017
010111,1004,,3017
010112,1004,,3017
010200,1004,,3017
010300,1004,,3017
010400,1004,,3017
010401,1004,,3017
010500,1004,,3017
010600,1004,,3017
010700,1004,,3017
010800,1004,,3017
010900,1004,,3017
010901,1004,,3017
011000,1004,,3017
011100,1004,,3017
020000,1004,,3017
020100,1004,,3017
020101,1004,,3017
020102,1004,,3017
020103,1004,,3017
020104,1004,,3017
020105,1004,,3017
020106,1004,,3017
020200,1004,,3017
020201,1004,,3017
020202,1004,,3017
020203,1004,,3017
020300,1004,,3017
020301,1004,,3017
020400,1004,,3017
020401,1004,,3017
020402,1004,,3017
020403,1004,,3017
020404,1004,,3017
020405,1004,,3017
020406,1004,,3017
020407,1004,,3017
020408,1004,,3017
020600,1004,,3017
020601,1004,,3017
020602,1004,,3017
020700,1004,,3017
020701,1004,,3017
020702,1004,,3017
020703,1004,,3017
020800,1004,,3017
020900,1004,,3017
020904,1004,,3017
020905,1004,,3017
021000,1004,,3017
021001,1004,,3017
021002,1004,,3017
021003,1004,,3017
021004,1004,,3017
021100,1004,,3017
021200,1004,,3017
021201,1004,,3017
021202,1004,,3017
021203,1004,,3017
021300,1004,,3017
021400,1004,,3017
021401,1004,,3017
021500,1004,,3017
021501,1004,,3017
021600,1004,,3017
021601,1004,,3017
021602,1004,,3017
021700,1004,,3017
021701,1004,,3017
021702,1004,,3017
021800,1004,,3017
021802,1004,,3017
021803,1004,,3017
021804,1004,,3017
021900,1004,,3017
022000,1004,,3017
022100,1004,,3017
022200,1004,,3017
022300,1004,,3017
022301,1004,,3017
022400,1004,,3017
022500,1004,,3017
022501,1004,,3017
022502,1004,,3017
022600,1004,,3017
022700,1004,,3017
025000,1004,,3017
025100,1004,,3017
025200,1004,,3017
025300,1004,,3017
025400,1004,,3017
025500,1004,,3017
025600,1004,,3017
025700,1004,,3017
025800,1004,,3017
025900,1004,,3017
026000,1004,,3017
026100,1004,,3017
026200,1004,,3017
026300,1004,,3017
029900,1004,,3017
030000,1004,,3017
030100,1004,,3017
030200,1004,,3017
030201,1004,,3017
030202,1004,,3017
030203,1004,,3017
030204,1004,,3017
030205,1004,,3017
030206,1004,,3017
030300,1004,,3017
030301,1004,,3017
030302,1004,,3017
030303,1004,,3017
030400,1004,,3017
030401,1004,,3017
030500,1004,,3017
030501,1004,,3017
030502,1004,,3017
030503,1004,,3017
030504,1004,,3017
030505,1004,,3017
030506,1004,,3017
030507,1004,,3017
030508,1004,,3017
030700,1004,,3017
030701,1004,,3017
030702,1004,,3017
030800,1004,,3017
030801,1004,,3017
030802,1004,,3017
030803,1004,,3017
030900,1004,,3017
031000,1004,,3017
031004,1004,,3017
031005,1004,,3017
031100,1004,,3017
031101,1004,,3017
031102,1004,,3017
031103,1004,,3017
031104,1004,,3017
031200,1004,,3017
031300,1004,,3017
031301,1004,,3017
031302,1004,,3017
031303,1004,,3017
031400,1004,,3017
031500,1004,,3017
031501,1004,,3017
031600,1004,,3017
031601,1004,,3017
031700,1004,,3017
031701,1004,,3017
031702,1004,,3017
031800,1004,,3017
031801,1004,,3017
031802,1004,,3017
031900,1004,,3017
031902,1004,,3017
031903,1004,,3017
031904,1004,,3017
032000,1004,,3017
032100,1004,,3017
032200,1004,,3017
032300,1004,,3017
032400,1004,,3017
032401,1004,,3017
032500,1004,,3017
032600,1004,,3017
032601,1004,,3017
032602,1004,,3017
032700,1004,,3017
032800,1004,,3017
035000,1004,,3017
035100,1004,,3017
035200,1004,,3017
035300,1004,,3017
035400,1004,,3017
035500,1004,,3017
035600,1004,,3017
035700,1004,,3017
035800,1004,,3017
035900,1004,,3017
036000,1004,,3017
036100,1004,,3017
036200,1004,,3017
036300,1004,,3017
039900,1004,,3017
040000,1004,,3017
040100,1004,,3017
040101,1004,,3017
040200,1004,,3017
040201,1004,,3017
